<Rules>,,,,,,,,,,,,
Colors,11,D,E,F,G,H,I,J,K,L,M,N
Clarities,10,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3,
EX,I3,H,1.9356,1.9855,1.7,Diameter,,,,,,
EX,VVS1,I,1.9356,1.9855,5.3,Diameter,,,,,,
EX,VVS2,I,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,I,1.9356,1.9855,4.25,Diameter,,,,,,
EX,VS2,I,1.9356,1.9855,4.1,Diameter,,,,,,
EX,SI1,I,1.9356,1.9855,3.7,Diameter,,,,,,
EX,SI2,I,1.9356,1.9855,3.4,Diameter,,,,,,
EX,SI3,I,1.9356,1.9855,2.95,Diameter,,,,,,
EX,I1,I,1.9356,1.9855,2.55,Diameter,,,,,,
EX,I2,I,1.9356,1.9855,2.2,Diameter,,,,,,
EX,I3,I,1.9356,1.9855,1.7,Diameter,,,,,,
EX,VVS1,J,1.9356,1.9855,4.2,Diameter,,,,,,
EX,VVS2,J,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,J,1.9356,1.9855,4,Diameter,,,,,,
EX,VS2,J,1.9356,1.9855,3.7,Diameter,,,,,,
EX,SI1,J,1.9356,1.9855,3,Diameter,,,,,,
EX,SI2,J,1.9356,1.9855,2.8,Diameter,,,,,,
EX,SI3,J,1.9356,1.9855,2.3,Diameter,,,,,,
EX,I1,J,1.9356,1.9855,2.05,Diameter,,,,,,
EX,I2,J,1.9356,1.9855,1.6,Diameter,,,,,,
EX,I3,J,1.9356,1.9855,1.25,Diameter,,,,,,
EX,VVS1,K,1.9356,1.9855,4.2,Diameter,,,,,,
EX,VVS2,K,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,K,1.9356,1.9855,4,Diameter,,,,,,
EX,VS2,K,1.9356,1.9855,3.7,Diameter,,,,,,
EX,SI1,K,1.9356,1.9855,3,Diameter,,,,,,
EX,SI2,K,1.9356,1.9855,2.8,Diameter,,,,,,
EX,SI3,K,1.9356,1.9855,2.3,Diameter,,,,,,
EX,I1,K,1.9356,1.9855,2.05,Diameter,,,,,,
EX,I2,K,1.9356,1.9855,1.6,Diameter,,,,,,
EX,I3,K,1.9356,1.9855,1.25,Diameter,,,,,,
EX,VVS1,L,1.9356,1.9855,3,Diameter,,,,,,
EX,VVS2,L,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,L,1.9356,1.9855,2.8,Diameter,,,,,,
EX,VS2,L,1.9356,1.9855,2.5,Diameter,,,,,,
EX,SI1,L,1.9356,1.9855,2.1,Diameter,,,,,,
EX,SI2,L,1.9356,1.9855,2,Diameter,,,,,,
EX,SI3,L,1.9356,1.9855,1.6,Diameter,,,,,,
EX,I1,L,1.9356,1.9855,1.45,Diameter,,,,,,
EX,I2,L,1.9356,1.9855,1.15,Diameter,,,,,,
EX,I3,L,1.9356,1.9855,0.9,Diameter,,,,,,
EX,VVS1,M,1.9356,1.9855,3,Diameter,,,,,,
EX,VVS2,M,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,M,1.9356,1.9855,2.8,Diameter,,,,,,
EX,VS2,M,1.9356,1.9855,2.5,Diameter,,,,,,
EX,SI1,M,1.9356,1.9855,2.1,Diameter,,,,,,
